eid,date,exercise,heart_rate
e7273,2014/10/10,hiking,127
e7278,2014/10/12,hiking,156
e7287,2014/10/15,swimming,125
e7292,2014/10/16,running,105
e7296,2014/10/17,biking,154
e7301,2014/10/18,weight lifting,157
e7305,2014/10/19,HIIT,138
e7312,2014/10/21,hiking,142
e7332,2014/10/26,biking,151
e7340,2014/10/28,running,163
e7351,2014/10/31,weight lifting,147
e7357,2014/11/01,weight lifting,128
e7377,2014/11/06,weight lifting,133
e7391,2014/11/10,hiking,152
e7394,2014/11/11,running,150
e7403,2014/11/13,biking,120
e7408,2014/11/14,hiking,107
e7413,2014/11/15,HIIT,137
e7420,2014/11/17,weight lifting,132
e7425,2014/11/18,running,131
e7430,2014/11/19,running,119
e7432,2014/11/20,HIIT,152
e7438,2014/11/22,running,148
e7444,2014/11/24,biking,154
e7453,2014/11/26,biking,130
e7458,2014/11/27,HIIT,143
e7466,2014/11/29,hiking,137
e7471,2014/11/30,running,139
e7479,2014/12/03,hiking,156
e7485,2014/12/05,HIIT,143
e7495,2014/12/08,HIIT,158
e7500,2014/12/10,biking,164
e7504,2014/12/11,hiking,103
e7512,2014/12/13,swimming,153
e7517,2014/12/14,biking,122
e7520,2014/12/15,HIIT,120
e7525,2014/12/16,running,146
e7528,2014/12/17,running,159
e7538,2014/12/20,hiking,148
e7542,2014/12/21,running,131
e7562,2014/12/26,hiking,165
e7569,2014/12/28,biking,106
e7739,2015/01/03,biking,162
e7744,2015/01/04,biking,151
e7758,2015/01/07,swimming,154
e7780,2015/01/12,weight lifting,141
e7788,2015/01/14,running,161
e7793,2015/01/15,HIIT,150
e7795,2015/01/16,HIIT,131
e7800,2015/01/18,hiking,163
e7811,2015/01/21,running,127
e7815,2015/01/22,HIIT,145
e7821,2015/01/24,swimming,159
e7833,2015/01/27,running,158
e7848,2015/01/30,HIIT,158
e7854,2015/02/01,weight lifting,160
e7861,2015/02/03,running,111
e7880,2015/02/08,running,138
e7885,2015/02/09,HIIT,157
e7914,2015/02/18,hiking,106
e7919,2015/02/19,HIIT,121
e7924,2015/02/21,hiking,163
e7928,2015/02/22,biking,165
e7932,2015/02/24,hiking,148
e7938,2015/02/25,running,161
e7945,2015/02/27,weight lifting,118
e7949,2015/02/28,weight lifting,155
e7955,2015/03/01,running,122
e7959,2015/03/02,running,158
e7965,2015/03/04,HIIT,162
e7973,2015/03/06,weight lifting,101
e7992,2015/03/12,weight lifting,150
e8003,2015/03/15,swimming,145
e8015,2015/03/18,biking,158
e8020,2015/03/19,HIIT,143
e8046,2015/03/26,swimming,130
e8048,2015/03/27,swimming,129
e8050,2015/03/28,weight lifting,129
e8054,2015/03/29,weight lifting,157
e8058,2015/03/30,HIIT,135
e8063,2015/04/01,hiking,149
e8067,2015/04/02,weight lifting,124
e8071,2015/04/03,biking,152
e8106,2015/04/14,weight lifting,146
e8109,2015/04/15,HIIT,144
e8114,2015/04/17,hiking,151
e8119,2015/04/18,biking,124
e8124,2015/04/19,swimming,148
e8129,2015/04/20,hiking,158
e8132,2015/04/21,biking,152
e8138,2015/04/23,running,157
e8143,2015/04/24,biking,152
e8155,2015/04/27,hiking,155
e8191,2015/05/09,weight lifting,143
e8204,2015/05/12,weight lifting,162
e8211,2015/05/14,running,109
e8219,2015/05/16,hiking,145
e8227,2015/05/18,biking,141
e8241,2015/05/21,biking,151
e8248,2015/05/22,swimming,132
e8259,2015/05/25,swimming,147
e8266,2015/05/27,hiking,109
e8287,2015/06/01,HIIT,149
e8309,2015/06/07,swimming,164
e8314,2015/06/08,running,152
e8319,2015/06/09,running,134
e8324,2015/06/10,running,100
e8329,2015/06/12,weight lifting,160
e8334,2015/06/13,HIIT,121
e8345,2015/06/16,swimming,105
e8350,2015/06/17,biking,161
e8355,2015/06/18,weight lifting,104
e8358,2015/06/19,hiking,163
e8364,2015/06/20,weight lifting,160
e8369,2015/06/21,hiking,138
e8374,2015/06/22,biking,159
e8383,2015/06/24,weight lifting,135
e8386,2015/06/26,running,130
e8392,2015/06/27,weight lifting,146
e8395,2015/06/28,biking,105
e8404,2015/07/01,running,144
e8415,2015/07/04,swimming,158
e8417,2015/07/05,running,151
e8421,2015/07/06,weight lifting,163
e8424,2015/07/07,hiking,153
e8433,2015/07/10,swimming,113
e8440,2015/07/11,swimming,150
e8444,2015/07/12,HIIT,159
e8451,2015/07/14,swimming,156
e8457,2015/07/15,running,143
e8459,2015/07/16,weight lifting,149
e8469,2015/07/18,hiking,99
e8477,2015/07/20,weight lifting,165
e8482,2015/07/21,biking,152
e8484,2015/07/22,biking,136
e8489,2015/07/23,weight lifting,126
e8495,2015/07/24,running,119
e8498,2015/07/25,weight lifting,155
e8504,2015/07/26,swimming,163
e8509,2015/07/27,biking,163
e8524,2015/08/01,HIIT,132
e8530,2015/08/02,running,156
e8540,2015/08/05,weight lifting,163
e8543,2015/08/06,hiking,141
e8558,2015/08/10,hiking,156
e8560,2015/08/11,weight lifting,131
e8564,2015/08/12,swimming,127
e8583,2015/08/17,weight lifting,139
e8600,2015/08/21,running,136
e8610,2015/08/24,running,143
e8615,2015/08/25,running,161
e8619,2015/08/26,hiking,160
e8625,2015/08/27,hiking,135
e8636,2015/08/30,biking,120
e8639,2015/08/31,HIIT,153
e8656,2015/09/05,HIIT,139
e8672,2015/09/08,biking,154
e8680,2015/09/10,running,163
e8689,2015/09/12,swimming,157
e8696,2015/09/14,swimming,152
e8703,2015/09/16,swimming,165
e8710,2015/09/18,swimming,144
e8715,2015/09/19,weight lifting,139
e8724,2015/09/21,weight lifting,130
e8732,2015/09/23,HIIT,163
e8739,2015/09/26,swimming,159
e8742,2015/09/27,HIIT,126
e8747,2015/09/28,swimming,152
e8755,2015/09/30,biking,138
e8758,2015/10/01,hiking,139
e8763,2015/10/03,weight lifting,147
e8764,2015/10/04,HIIT,145
e8767,2015/10/05,HIIT,163
e8777,2015/10/08,running,151
e8782,2015/10/09,weight lifting,162
e8789,2015/10/11,running,156
e8794,2015/10/12,running,151
e8798,2015/10/13,HIIT,158
e8808,2015/10/15,swimming,138
e8814,2015/10/16,hiking,159
e8821,2015/10/18,weight lifting,138
e8828,2015/10/20,HIIT,152
e8833,2015/10/23,biking,144
e8836,2015/10/24,hiking,115
e8860,2015/10/31,biking,113
e8873,2015/11/04,swimming,145
e8877,2015/11/05,HIIT,139
e8885,2015/11/07,biking,148
e8907,2015/11/13,swimming,133
e8911,2015/11/14,running,154
e8922,2015/11/17,swimming,148
e8930,2015/11/19,weight lifting,145
e8932,2015/11/20,HIIT,160
e8942,2015/11/22,running,132
e8945,2015/11/23,biking,161
e8948,2015/11/24,biking,118
e8960,2015/11/28,HIIT,160
e8966,2015/11/29,biking,155
e8970,2015/11/30,hiking,157
e8977,2015/12/02,HIIT,155
e8979,2015/12/03,hiking,97
e8988,2015/12/05,hiking,137
e8996,2015/12/07,swimming,103
e9011,2015/12/10,hiking,160
e9014,2015/12/11,running,135
e9016,2015/12/12,weight lifting,164
e9024,2015/12/15,weight lifting,149
e9031,2015/12/17,weight lifting,139
e9049,2015/12/23,weight lifting,98
e9053,2015/12/24,swimming,146
e9056,2015/12/25,HIIT,126
e9062,2015/12/26,swimming,153
e9076,2015/12/29,swimming,152
e9082,2015/12/31,HIIT,157
e9231,2016/01/01,hiking,150
e9237,2016/01/03,running,135
e9255,2016/01/08,running,157
e9262,2016/01/10,weight lifting,104
e9271,2016/01/13,running,165
e9282,2016/01/16,biking,140
e9285,2016/01/17,biking,138
e9288,2016/01/18,HIIT,145
e9294,2016/01/20,biking,117
e9301,2016/01/22,running,159
e9312,2016/01/25,biking,104
e9324,2016/01/28,swimming,103
e9335,2016/01/30,swimming,113
e9344,2016/02/01,weight lifting,112
e9357,2016/02/04,biking,145
e9378,2016/02/09,HIIT,141
e9385,2016/02/10,swimming,140
e9389,2016/02/12,HIIT,146
e9391,2016/02/13,hiking,153
e9405,2016/02/16,HIIT,114
e9407,2016/02/17,biking,145
e9412,2016/02/19,running,164
e9414,2016/02/20,HIIT,155
e9417,2016/02/21,HIIT,155
e9421,2016/02/23,weight lifting,144
e9423,2016/02/24,swimming,157
e9429,2016/02/26,weight lifting,149
e9435,2016/02/28,HIIT,151
e9452,2016/03/04,swimming,142
e9464,2016/03/08,HIIT,115
e9474,2016/03/11,swimming,152
e9479,2016/03/12,hiking,160
e9489,2016/03/15,swimming,157
e9495,2016/03/16,running,163
e9508,2016/03/20,running,153
e9512,2016/03/21,running,145
e9515,2016/03/22,hiking,155
e9522,2016/03/24,swimming,101
e9526,2016/03/25,running,141
e9529,2016/03/26,running,148
e9535,2016/03/27,biking,126
e9546,2016/03/29,hiking,131
e9553,2016/03/31,biking,162
e9563,2016/04/02,weight lifting,128
e9569,2016/04/03,biking,162
e9573,2016/04/04,biking,138
e9578,2016/04/05,biking,128
e9591,2016/04/09,HIIT,154
e9599,2016/04/11,HIIT,141
e9639,2016/04/23,swimming,158
e9646,2016/04/24,swimming,148
e9653,2016/04/26,weight lifting,157
e9657,2016/04/27,weight lifting,109
e9664,2016/04/28,hiking,163
e9667,2016/04/29,hiking,162
e9670,2016/04/30,biking,152
e9681,2016/05/02,hiking,104
e9694,2016/05/06,HIIT,124
e9701,2016/05/07,weight lifting,146
e9703,2016/05/08,swimming,165
e9708,2016/05/09,biking,138
e9710,2016/05/10,swimming,116
e9712,2016/05/11,running,133
e9717,2016/05/12,swimming,137
e9723,2016/05/13,weight lifting,147
e9727,2016/05/14,biking,163
e9732,2016/05/15,running,137
e9750,2016/05/21,running,131
e9772,2016/05/28,running,129
e9780,2016/05/30,biking,135
e9786,2016/06/01,hiking,93
e9800,2016/06/04,hiking,148
e9803,2016/06/05,running,153
e9822,2016/06/11,swimming,127
e9826,2016/06/12,running,139
e9852,2016/06/19,biking,164
e9856,2016/06/20,hiking,137
e9867,2016/06/23,weight lifting,131
e9870,2016/06/24,hiking,115
e9877,2016/06/26,HIIT,150
e9885,2016/06/28,biking,160
e9894,2016/06/30,weight lifting,158
e9896,2016/07/01,biking,107
e9902,2016/07/03,hiking,159
e9930,2016/07/10,HIIT,101
e9934,2016/07/11,swimming,131
e9938,2016/07/12,HIIT,123
e9946,2016/07/14,hiking,139
e9951,2016/07/15,swimming,127
e9969,2016/07/19,swimming,158
e9972,2016/07/20,weight lifting,164
e9977,2016/07/21,biking,118
e9982,2016/07/22,HIIT,148
e9985,2016/07/23,weight lifting,114
e9993,2016/07/25,running,128
e9997,2016/07/26,biking,118
e10010,2016/07/30,swimming,144
e10017,2016/08/01,swimming,161
e10037,2016/08/07,HIIT,138
e10042,2016/08/08,weight lifting,137
e10046,2016/08/09,biking,153
e10056,2016/08/11,biking,165
e10062,2016/08/12,swimming,133
e10075,2016/08/16,HIIT,140
e10079,2016/08/17,swimming,106
e10082,2016/08/18,weight lifting,104
e10093,2016/08/20,HIIT,140
e10095,2016/08/21,HIIT,143
e10099,2016/08/22,hiking,158
e10110,2016/08/24,HIIT,149
e10114,2016/08/25,HIIT,155
e10115,2016/08/26,weight lifting,144
e10126,2016/08/29,swimming,137
e10133,2016/08/30,hiking,140
e10140,2016/08/31,swimming,144
e10149,2016/09/03,running,153
e10155,2016/09/04,swimming,165
e10170,2016/09/08,hiking,148
e10180,2016/09/10,weight lifting,159
e10196,2016/09/14,hiking,146
e10200,2016/09/15,hiking,105
e10205,2016/09/16,weight lifting,146
e10209,2016/09/17,weight lifting,157
e10212,2016/09/18,weight lifting,159
e10224,2016/09/22,running,128
e10231,2016/09/24,biking,163
e10249,2016/09/29,hiking,138
e10255,2016/09/30,swimming,132
e10268,2016/10/03,biking,126
e10278,2016/10/05,hiking,152
e10283,2016/10/06,swimming,154
e10295,2016/10/09,biking,163
e10300,2016/10/10,biking,165
e10308,2016/10/12,biking,150
e10313,2016/10/13,HIIT,164
e10316,2016/10/14,HIIT,142
e10319,2016/10/15,biking,137
e10323,2016/10/16,running,143
e10328,2016/10/17,running,157
e10332,2016/10/19,running,149
e10336,2016/10/20,running,157
e10343,2016/10/21,swimming,159
e10350,2016/10/23,hiking,162
e10357,2016/10/24,HIIT,145
e10361,2016/10/25,swimming,154
e10366,2016/10/26,hiking,121
e10376,2016/10/28,HIIT,139
e10388,2016/10/30,running,165
e10393,2016/11/01,swimming,157
e10398,2016/11/02,swimming,148
e10420,2016/11/07,hiking,135
e10427,2016/11/09,weight lifting,153
e10432,2016/11/10,swimming,154
e10443,2016/11/12,swimming,153
e10446,2016/11/13,weight lifting,101
e10451,2016/11/14,HIIT,146
e10453,2016/11/15,hiking,163
e10458,2016/11/16,biking,162
e10465,2016/11/17,running,123
e10469,2016/11/18,HIIT,152
e10484,2016/11/22,running,162
e10490,2016/11/23,HIIT,155
e10496,2016/11/24,biking,160
e10500,2016/11/25,HIIT,152
e10515,2016/11/29,HIIT,149
e10523,2016/12/01,running,159
e10550,2016/12/08,weight lifting,143
e10567,2016/12/12,weight lifting,143
e10573,2016/12/13,weight lifting,138
e10582,2016/12/15,running,120
e10591,2016/12/17,weight lifting,136
e10593,2016/12/18,weight lifting,158
e10598,2016/12/19,HIIT,149
e10602,2016/12/20,HIIT,162
e10607,2016/12/21,swimming,134
e10611,2016/12/22,running,157
e10623,2016/12/25,hiking,144
e10634,2016/12/28,swimming,109
e10638,2016/12/29,swimming,127
e10640,2016/12/30,swimming,156
e10644,2016/12/31,running,157
e10784,2017/01/01,biking,149
e10789,2017/01/02,biking,141
e10797,2017/01/05,running,158
e10800,2017/01/06,swimming,128
e10805,2017/01/07,biking,122
e10807,2017/01/08,weight lifting,150
e10815,2017/01/10,biking,162
e10825,2017/01/12,hiking,153
e10832,2017/01/14,swimming,133
e10836,2017/01/15,weight lifting,94
e10838,2017/01/16,running,156
e10843,2017/01/17,running,128
e10846,2017/01/18,hiking,118
e10850,2017/01/19,biking,141
e10860,2017/01/22,hiking,157
e10865,2017/01/23,biking,157
e10873,2017/01/25,hiking,156
e10877,2017/01/26,weight lifting,124
e10879,2017/01/27,running,136
e10891,2017/01/29,HIIT,154
e10914,2017/02/04,hiking,140
e10917,2017/02/05,weight lifting,149
e10922,2017/02/06,swimming,156
e10945,2017/02/12,running,134
e10949,2017/02/13,weight lifting,156
e10952,2017/02/14,running,156
e10959,2017/02/16,running,160
e10965,2017/02/17,biking,111
e10968,2017/02/18,biking,148
e10970,2017/02/19,weight lifting,134
e10973,2017/02/20,HIIT,142
e10978,2017/02/21,biking,97
e10991,2017/02/25,weight lifting,117
e11001,2017/03/01,running,160
e11005,2017/03/02,hiking,154
e11028,2017/03/08,biking,151
e11033,2017/03/09,biking,155
e11040,2017/03/11,biking,158
e11045,2017/03/12,hiking,138
e11057,2017/03/15,running,163
e11064,2017/03/17,swimming,161
e11069,2017/03/18,biking,152
e11077,2017/03/20,biking,123
e11094,2017/03/26,swimming,163
e11112,2017/03/30,HIIT,154
e11118,2017/03/31,swimming,149
e11121,2017/04/01,hiking,126
e11125,2017/04/02,running,135
e11131,2017/04/04,biking,152
e11132,2017/04/05,hiking,133
e11139,2017/04/06,running,154
e11142,2017/04/07,HIIT,156
e11157,2017/04/12,swimming,135
e11174,2017/04/16,swimming,146
e11187,2017/04/20,biking,149
e11190,2017/04/21,running,146
e11195,2017/04/22,running,132
e11201,2017/04/23,swimming,147
e11206,2017/04/24,swimming,142
e11209,2017/04/26,HIIT,152
e11214,2017/04/27,HIIT,113
e11218,2017/04/28,swimming,110
e11251,2017/05/07,biking,165
e11265,2017/05/11,weight lifting,157
e11297,2017/05/20,biking,144
e11304,2017/05/23,running,115
e11313,2017/05/27,weight lifting,163
e11317,2017/05/28,weight lifting,156
e11324,2017/05/29,running,121
e11327,2017/05/30,hiking,146
e11332,2017/05/31,running,97
e11336,2017/06/01,hiking,145
e11339,2017/06/02,running,141
e11343,2017/06/03,hiking,165
e11349,2017/06/04,biking,163
e11358,2017/06/07,running,129
e11363,2017/06/08,biking,142
e11370,2017/06/10,biking,165
e11379,2017/06/13,biking,105
e11387,2017/06/15,HIIT,157
e11394,2017/06/17,HIIT,147
e11416,2017/06/23,weight lifting,155
e11450,2017/07/02,running,159
e11456,2017/07/03,swimming,133
e11469,2017/07/06,hiking,157
e11473,2017/07/07,biking,132
e11478,2017/07/08,biking,144
e11482,2017/07/09,biking,146
e11489,2017/07/11,HIIT,164
e11493,2017/07/12,running,122
e11509,2017/07/17,swimming,117
e11514,2017/07/18,running,151
e11518,2017/07/19,hiking,102
e11522,2017/07/20,hiking,97
e11530,2017/07/21,weight lifting,136
e11541,2017/07/24,running,105
e11545,2017/07/25,weight lifting,133
e11549,2017/07/26,swimming,141
e11559,2017/07/28,biking,149
e11570,2017/07/31,weight lifting,148
e11576,2017/08/01,weight lifting,133
e11595,2017/08/06,biking,151
e11601,2017/08/09,weight lifting,138
e11607,2017/08/10,running,162
e11623,2017/08/13,running,161
e11626,2017/08/14,biking,137
e11649,2017/08/20,swimming,125
e11661,2017/08/23,hiking,165
e11675,2017/08/26,swimming,104
e11702,2017/09/01,running,127
e11710,2017/09/04,HIIT,149
e11715,2017/09/05,hiking,156
e11728,2017/09/09,biking,130
e11733,2017/09/10,weight lifting,162
e11748,2017/09/14,biking,143
e11754,2017/09/15,swimming,152
e11759,2017/09/16,swimming,159
e11781,2017/09/22,weight lifting,146
e11787,2017/09/23,biking,145
e11791,2017/09/24,biking,162
e11805,2017/09/28,swimming,104
e11810,2017/09/29,HIIT,124
e11814,2017/09/30,hiking,122
e11821,2017/10/02,running,153
e11830,2017/10/04,biking,141
e11835,2017/10/06,hiking,142
e11842,2017/10/08,swimming,163
e11846,2017/10/09,HIIT,147
e11851,2017/10/11,running,158
e11855,2017/10/12,swimming,147
e11864,2017/10/14,HIIT,123
e11869,2017/10/15,hiking,125
e11884,2017/10/19,HIIT,153
e11890,2017/10/21,running,148
e11910,2017/10/27,HIIT,133
e11931,2017/11/02,swimming,155
e11935,2017/11/03,hiking,154
e11936,2017/11/04,swimming,126
e11943,2017/11/06,hiking,139
e11964,2017/11/11,hiking,148
e11968,2017/11/12,weight lifting,124
e11978,2017/11/15,hiking,118
e11987,2017/11/18,swimming,133
e11992,2017/11/19,weight lifting,165
e12008,2017/11/24,swimming,147
e12015,2017/11/27,biking,150
e12027,2017/11/30,weight lifting,121
e12034,2017/12/02,biking,141
e12042,2017/12/04,swimming,165
e12047,2017/12/05,biking,163
e12064,2017/12/10,hiking,110
e12069,2017/12/11,swimming,164
e12075,2017/12/12,biking,161
e12078,2017/12/13,HIIT,163
e12087,2017/12/15,HIIT,154
e12093,2017/12/16,HIIT,131
e12104,2017/12/18,swimming,152
e12116,2017/12/21,swimming,141
e12123,2017/12/23,running,137
e12125,2017/12/24,weight lifting,153
e12128,2017/12/25,hiking,148
e12139,2017/12/28,biking,131
e12143,2017/12/29,biking,147
e12147,2017/12/30,hiking,163
e12284,2018/01/01,HIIT,154
e12295,2018/01/05,running,118
e12302,2018/01/07,HIIT,143
e12320,2018/01/12,biking,128
e12323,2018/01/13,biking,158
e12326,2018/01/14,swimming,163
e12332,2018/01/15,biking,152
e12342,2018/01/18,biking,155
e12347,2018/01/19,weight lifting,156
e12359,2018/01/22,weight lifting,160
e12361,2018/01/23,hiking,135
e12375,2018/01/26,running,141
e12380,2018/01/27,HIIT,152
e12384,2018/01/28,HIIT,136
e12391,2018/01/30,hiking,153
e12396,2018/02/01,biking,158
e12400,2018/02/02,biking,161
e12404,2018/02/03,hiking,151
e12430,2018/02/12,hiking,137
e12448,2018/02/17,HIIT,126
e12460,2018/02/20,biking,155
e12470,2018/02/22,weight lifting,163
e12476,2018/02/24,hiking,162
e12483,2018/02/25,hiking,163
e12488,2018/02/26,running,161
e12536,2018/03/13,hiking,136
e12540,2018/03/14,biking,134
e12544,2018/03/15,biking,96
e12555,2018/03/18,HIIT,154
e12560,2018/03/19,weight lifting,157
e12564,2018/03/20,weight lifting,165
e12575,2018/03/23,biking,138
e12583,2018/03/25,running,158
e12590,2018/03/27,hiking,144
e12594,2018/03/28,running,161
e12598,2018/03/29,biking,152
e12602,2018/03/30,weight lifting,147
e12604,2018/03/31,running,159
e12607,2018/04/01,biking,113
e12610,2018/04/02,running,150
e12615,2018/04/03,running,164
e12621,2018/04/04,HIIT,123
e12624,2018/04/05,biking,161
e12630,2018/04/08,weight lifting,146
e12632,2018/04/09,weight lifting,148
e12640,2018/04/12,HIIT,151
e12647,2018/04/13,biking,153
e12651,2018/04/14,HIIT,148
e12659,2018/04/16,swimming,157
e12664,2018/04/17,hiking,108
e12679,2018/04/21,running,138
e12682,2018/04/22,biking,120
e12685,2018/04/23,swimming,140
e12694,2018/04/25,hiking,147
e12697,2018/04/26,weight lifting,161
e12714,2018/04/30,HIIT,164
e12718,2018/05/01,weight lifting,138
e12726,2018/05/03,hiking,163
e12730,2018/05/04,weight lifting,119
e12733,2018/05/05,weight lifting,136
e12739,2018/05/06,HIIT,154
e12744,2018/05/07,hiking,150
e12754,2018/05/09,running,150
e12758,2018/05/10,weight lifting,102
e12765,2018/05/12,biking,165
e12779,2018/05/15,swimming,160
e12808,2018/05/25,biking,155
e12817,2018/05/27,swimming,132
e12821,2018/05/28,running,143
e12823,2018/05/29,swimming,160
e12826,2018/05/30,HIIT,144
e12833,2018/06/01,hiking,157
e12836,2018/06/02,biking,126
e12840,2018/06/03,running,153
e12856,2018/06/07,running,138
e12864,2018/06/09,hiking,99
e12870,2018/06/10,running,157
e12884,2018/06/14,biking,147
e12888,2018/06/15,swimming,131
e12894,2018/06/17,swimming,132
e12900,2018/06/18,HIIT,146
e12916,2018/06/22,biking,123
e12922,2018/06/23,biking,161
e12927,2018/06/24,biking,144
e12938,2018/06/27,weight lifting,107
e12949,2018/07/01,weight lifting,151
e12955,2018/07/02,HIIT,161
e12969,2018/07/06,weight lifting,134
e12971,2018/07/07,running,101
e12974,2018/07/08,running,152
e12984,2018/07/11,running,163
e12989,2018/07/12,hiking,144
e12996,2018/07/14,running,161
e13005,2018/07/17,HIIT,139
e13010,2018/07/18,HIIT,160
e13015,2018/07/19,biking,118
e13020,2018/07/20,swimming,127
e13024,2018/07/21,swimming,164
e13040,2018/07/25,weight lifting,161
e13045,2018/07/26,biking,118
e13048,2018/07/27,hiking,137
e13051,2018/07/28,hiking,157
e13055,2018/07/29,hiking,136
e13062,2018/07/30,HIIT,141
e13066,2018/07/31,weight lifting,129
e13072,2018/08/01,hiking,151
e13080,2018/08/03,hiking,117
e13092,2018/08/05,weight lifting,136
e13104,2018/08/08,weight lifting,154
e13113,2018/08/11,running,112
e13118,2018/08/12,HIIT,107
e13125,2018/08/14,HIIT,133
e13131,2018/08/17,swimming,152
e13157,2018/08/24,swimming,140
e13181,2018/08/31,weight lifting,117
e13185,2018/09/01,running,120
e13193,2018/09/03,running,157
e13213,2018/09/09,biking,152
e13218,2018/09/10,hiking,147
e13224,2018/09/12,HIIT,157
e13233,2018/09/15,biking,114
e13236,2018/09/16,hiking,147
e13240,2018/09/17,swimming,123
e13245,2018/09/18,weight lifting,147
e13251,2018/09/19,hiking,159
e13261,2018/09/21,biking,123
e13265,2018/09/22,hiking,120
e13270,2018/09/23,running,128
e13275,2018/09/24,biking,162
e13286,2018/09/27,weight lifting,146
e13290,2018/09/28,biking,152
e13295,2018/09/29,swimming,118
e13298,2018/09/30,running,142
e13302,2018/10/01,weight lifting,163
e13310,2018/10/02,hiking,123
e13311,2018/10/03,running,156
e13327,2018/10/08,biking,154
e13331,2018/10/09,swimming,151
e13341,2018/10/12,weight lifting,150
e13349,2018/10/14,swimming,152
e13351,2018/10/15,HIIT,164
e13355,2018/10/16,running,134
e13359,2018/10/17,hiking,138
e13382,2018/10/23,HIIT,140
e13393,2018/10/26,weight lifting,128
e13394,2018/10/27,swimming,121
e13398,2018/10/29,running,158
e13409,2018/11/03,weight lifting,155
e13414,2018/11/04,weight lifting,142
e13421,2018/11/07,hiking,161
e13425,2018/11/08,weight lifting,165
e13429,2018/11/09,swimming,153
e13434,2018/11/10,hiking,153
e13437,2018/11/11,biking,150
e13450,2018/11/15,HIIT,127
e13455,2018/11/16,hiking,128
e13466,2018/11/18,swimming,163
e13471,2018/11/20,running,142
e13474,2018/11/21,swimming,119
e13481,2018/11/23,HIIT,164
e13493,2018/11/25,biking,153
e13508,2018/11/30,hiking,164
e13516,2018/12/01,hiking,131
e13526,2018/12/04,running,129
e13539,2018/12/07,weight lifting,154
e13546,2018/12/08,swimming,147
e13551,2018/12/09,hiking,103
e13569,2018/12/15,swimming,152
e13572,2018/12/17,HIIT,137
e13575,2018/12/18,running,154
e13581,2018/12/19,biking,143
e13588,2018/12/21,hiking,145
e13590,2018/12/22,running,107
e13596,2018/12/23,weight lifting,154
e13609,2018/12/26,hiking,125
e13614,2018/12/28,weight lifting,149
e13618,2018/12/29,swimming,118
e13762,2019/01/01,running,150
e13764,2019/01/02,hiking,99
e13776,2019/01/05,running,154
e13787,2019/01/08,hiking,160
e13791,2019/01/09,swimming,105
e13805,2019/01/13,hiking,145
e13813,2019/01/15,hiking,143
e13819,2019/01/17,running,160
e13834,2019/01/20,weight lifting,108
e13837,2019/01/21,swimming,147
e13839,2019/01/23,HIIT,165
e13841,2019/01/24,weight lifting,145
e13844,2019/01/25,running,157
e13849,2019/01/26,biking,90
e13858,2019/01/28,HIIT,143
e13868,2019/01/30,biking,147
e13876,2019/02/01,HIIT,162
e13895,2019/02/06,swimming,163
e13903,2019/02/08,hiking,162
e13906,2019/02/09,biking,148
e13909,2019/02/10,hiking,163
e13913,2019/02/12,hiking,149
e13921,2019/02/14,swimming,142
e13939,2019/02/19,biking,140
e13944,2019/02/20,running,163
e13956,2019/02/25,weight lifting,159
e13963,2019/02/26,swimming,140
e13969,2019/02/27,running,156
e13982,2019/03/03,swimming,165
e13985,2019/03/05,HIIT,132
e13990,2019/03/06,biking,163
e13992,2019/03/07,hiking,144
e14000,2019/03/09,running,121
e14003,2019/03/11,HIIT,156
e14014,2019/03/14,biking,161
e14025,2019/03/16,HIIT,134
e14030,2019/03/18,biking,137
e14054,2019/03/26,swimming,149
e14057,2019/03/27,weight lifting,164
e14063,2019/03/28,HIIT,149
e14071,2019/03/30,weight lifting,163
e14076,2019/03/31,hiking,153
e14085,2019/04/03,biking,109
e14097,2019/04/06,HIIT,154
e14108,2019/04/09,biking,157
e14117,2019/04/11,hiking,162
e14134,2019/04/18,hiking,143
e14137,2019/04/19,running,159
e14158,2019/04/24,biking,142
e14164,2019/04/26,swimming,135
e14184,2019/04/30,biking,145
e14189,2019/05/01,weight lifting,150
e14193,2019/05/02,HIIT,127
e14206,2019/05/05,HIIT,148
e14216,2019/05/08,running,133
e14226,2019/05/11,weight lifting,163
e14233,2019/05/13,HIIT,152
e14252,2019/05/17,biking,154
e14261,2019/05/19,hiking,157
e14270,2019/05/21,HIIT,118
e14278,2019/05/23,weight lifting,131
e14282,2019/05/24,hiking,143
e14291,2019/05/26,running,152
e14300,2019/05/28,swimming,120
e14308,2019/05/30,hiking,159
e14320,2019/06/03,running,158
e14327,2019/06/05,weight lifting,146
e14336,2019/06/07,HIIT,149
e14357,2019/06/12,HIIT,154
e14364,2019/06/14,weight lifting,160
e14372,2019/06/16,swimming,165
e14384,2019/06/20,biking,131
e14390,2019/06/21,hiking,122
e14401,2019/06/23,biking,159
e14410,2019/06/25,biking,118
e14424,2019/06/29,biking,157
e14428,2019/06/30,biking,149
e14435,2019/07/02,running,150
e14439,2019/07/03,swimming,129
e14449,2019/07/05,biking,139
e14460,2019/07/08,swimming,151
e14466,2019/07/10,HIIT,135
e14470,2019/07/11,running,134
e14478,2019/07/13,weight lifting,146
e14482,2019/07/14,hiking,152
e14497,2019/07/18,hiking,164
e14501,2019/07/19,hiking,161
e14504,2019/07/20,running,155
e14508,2019/07/21,running,159
